,ln(VOTES/POP),POP,EDUCATION,HOUSES,INCOME,XCOORD
2686,-0.639186,8.770129,7.754053,7.893572,,-93850139.0
1192,-0.85551,13.139502,12.476165,11.207188,15.265479,-70978184.0
2738,-0.67633,8.847647,7.280697,7.692113,,-99759662.0
2780,-0.482026,10.199063,9.707777,9.08806,,-72717598.0
1735,-0.661641,11.051652,10.384802,9.835316,,-71032844.0
168,-1.020572,11.000048,10.104999,9.740557,13.184277,-115352917.0
2596,-0.786729,9.812906,8.989444,8.820699,11.962624,-95561957.0
2828,-0.707948,9.701127,9.071768,8.616858,,-76770737.0
789,-0.379025,9.236398,8.737132,8.277412,11.599718,-92790958.0
2958,-0.636908,10.404233,9.652395,9.390075,,-78025717.0
2736,-0.692007,9.548811,8.742095,8.588024,,-98698171.0
2985,-0.526351,9.856606,9.170872,8.889033,,-78941624.0
2513,-0.698477,9.485545,8.656607,8.439015,,-96605182.0
1413,-0.56778,9.68918,8.780326,8.770594,,-89119353.0
2316,-1.181043,10.97466,9.974272,9.854717,13.074483,-82723847.0
219,-0.58731,8.340933,7.712444,7.247793,,-103076652.0
367,-0.645154,8.643826,7.724888,7.765145,,-81983226.0
1842,-0.570816,10.78245,10.141677,9.661416,,-74764967.0
1320,-0.308232,8.185629,7.369601,7.27448,10.048194,-95810415.0
2705,-0.770956,11.290494,10.566382,10.127271,13.534477,-99880794.0
1017,-0.69796,9.052399,8.063378,8.14584,,-85698105.0
1412,-0.550508,9.130864,8.116716,8.12947,,-89608860.0
351,-0.693461,12.225032,11.658462,11.240828,,-81138499.0
1364,-0.523631,10.163349,9.383453,9.110851,,-91351407.0
1229,-0.297687,9.25081,8.683047,8.405815,11.240657,-88513849.0
944,-0.455279,7.355002,6.771936,6.289716,9.569343,-101784221.0
1992,-0.305326,8.250881,7.635304,7.3518,10.365805,-97629284.0
2786,-0.873582,9.960624,8.900685,8.860499,12.028798,-79142385.0
2456,-0.861464,9.43068,8.229778,8.50025,11.292216,-85285354.0
498,-0.71466,8.819665,7.711101,7.940584,,-83990883.0
3073,-0.411136,9.81482,9.147188,8.839132,11.904271,-91352132.0
210,-0.458742,10.143016,9.733174,9.11603,12.340796,-119944921.0
2619,-0.346871,5.669881,5.068904,3.970292,7.758761,-100251840.0
2498,-1.082273,11.624583,10.87256,10.255974,13.728791,-97475901.0
650,-0.529832,9.201804,8.53778,8.256867,,-87840390.0
227,-0.070708,6.988413,6.608001,6.013715,9.005282,-105360548.0
365,-0.791484,11.573145,10.785021,10.345959,13.734432,-83699153.0
685,-0.455606,10.083932,9.419304,9.172742,12.346282,-87580462.0
276,-0.371519,8.82129,8.256088,7.866339,10.962752,-102422375.0
2066,-0.5198,10.253863,9.682779,9.331761,,-83056788.0
1174,-0.714681,9.559306,8.551788,8.544419,,-75858994.0
1559,-0.541327,9.353575,8.446985,8.472196,,-92462370.0
2023,-0.545265,10.542152,9.91215,9.581145,,-84622267.0
2506,-0.654189,8.623893,7.911324,7.362645,,-103245707.0
407,-0.8081,9.548597,8.412499,8.499233,11.501662,-82304173.0
2379,-1.26413,8.694837,7.651596,6.939254,10.304242,-102547032.0
1651,-0.305248,7.670429,7.199678,6.688355,9.820758,-102343512.0
2420,-0.83045,9.129239,7.828835,8.245122,11.082435,-85720116.0
801,-0.432791,10.171757,9.641083,9.224243,12.463107,-93052619.0
676,-0.494478,10.037712,9.467537,9.15377,,-84999715.0
2493,-0.707358,8.591558,7.682022,7.528332,,-102829715.0
2911,-0.67043,8.552367,7.704361,7.5224,,-78906246.0
7,-0.879874,11.358316,10.520644,10.222741,13.415306,-85825619.0
839,-0.51912,9.215129,8.666475,8.287277,,-94242081.0
1307,-0.285433,10.2958,9.771041,9.42311,12.486685,-93626338.0
3101,-0.383451,8.024535,7.615298,7.021976,10.376736,-109919619.0
415,-0.561786,8.981807,7.834788,8.020928,,-84457861.0
1036,-0.700832,9.447071,8.569026,8.292799,,-83826232.0
1255,-0.451071,10.081634,9.418979,9.229947,12.200492,-85796859.0
1911,-0.713103,12.584108,12.010605,11.392237,,-80833124.0
1662,-0.434695,6.591674,6.109248,5.676754,8.500861,-101141252.0
199,-0.510485,11.870306,11.417108,10.661556,,-122007235.0
283,-0.51963,11.346304,10.789154,10.147649,,-72332954.0
231,-0.348875,9.70729,9.461566,8.81863,12.486201,-104930454.0
729,-0.57993,9.504054,8.852522,8.483636,,-85468939.0
1052,-0.757357,10.00374,8.80807,8.943767,12.019821,-83225115.0
96,-0.758345,10.732105,9.856972,9.623244,12.819237,-90631882.0
1461,-0.588235,10.696661,9.956507,9.604677,,-89684392.0
2662,-0.729948,12.099511,11.348428,10.874513,,-97521053.0
2815,-0.780869,10.066966,9.269081,9.123474,12.310779,-78262947.0
812,-0.330169,9.095939,8.633019,8.158802,11.290294,-94014932.0
1963,-0.303074,7.862112,7.21008,6.977281,9.988977,-103487269.0
1716,-0.845538,8.798153,8.244071,7.632401,11.081696,-118116900.0
2964,-0.674229,8.906935,7.722235,7.877397,,-81074645.0
2922,-0.524775,10.536938,10.054318,9.556126,,-123931203.0
3089,-0.384553,8.174421,7.660585,7.285507,10.501802,-104564077.0
2424,-0.814794,9.697324,8.573384,8.61432,11.564835,-88996804.0
104,-0.483663,9.25177,8.41516,8.297793,,-93891926.0
2312,-0.943335,9.935519,8.81195,8.829665,11.862279,-79678127.0
1566,-0.205984,7.17012,6.680855,6.269096,9.124565,-104538058.0
1502,-0.509518,9.651044,8.838842,8.746398,,-90961560.0
3103,-0.307581,8.8663,8.546946,7.63337,11.345323,-110573554.0
2652,-0.780002,8.761393,7.866339,7.847763,10.916415,-100923210.0
761,-0.482581,9.633383,9.084891,8.69651,,-91839412.0
2885,-0.775678,8.830835,7.949091,7.771067,10.907203,-79990271.0
226,-0.402519,7.697575,6.986566,6.777647,9.544596,-103785398.0
3106,-0.489179,8.485496,7.961021,7.566311,,-104563095.0
2383,-0.748281,8.309923,7.532624,6.916715,10.049707,-100728883.0
1644,-0.540693,12.547888,12.068923,11.434996,,-96147377.0
1702,-0.519741,6.516193,6.095825,5.598422,,-100582468.0
2263,-0.588875,10.18373,9.594922,9.239899,,-75800266.0
744,-0.585177,10.157936,9.537339,9.151651,,-85790382.0
1361,-0.39888,10.437903,9.709842,9.339261,12.559862,-91774907.0
2689,-0.747599,10.517213,9.656243,9.413444,12.764837,-97522009.0
2857,-0.719451,8.541495,7.531552,7.618251,,-76724393.0
755,-0.513557,9.32759,8.694,8.426174,,-92868827.0
2499,-0.778959,13.418351,12.723928,12.216038,15.61843,-98519868.0
2073,-0.424195,9.984699,9.3521,9.055673,12.257317,-84128383.0
3019,-0.353121,9.922604,9.303375,8.948976,12.300915,-88221545.0
464,-0.823848,9.775029,8.714403,8.879751,11.901733,-84865844.0
2019,-0.668355,11.293164,10.656506,10.331888,,-80776727.0
1437,-0.451922,9.110962,8.195885,8.192847,11.055214,-90102515.0
1965,-0.312595,7.853216,7.142827,6.909753,9.938855,-98900015.0
1378,-0.575993,9.800236,8.813885,8.800867,,-90444667.0
2358,-0.436057,7.645398,6.930495,6.499787,9.673382,-101636476.0
2915,-0.640955,9.336797,8.6307,8.270525,,-78902634.0
1710,-0.627711,9.198065,8.683724,8.120291,,-118340938.0
