,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
6879,0.287,0.4114,0.255,0.89,0.331,0.545,0.368,0.21,0.335,0.798
18934,0.441,0.997,0.701,0.905,0.78,0.2,0.662,0.047,0.286,0.234
5092,0.079,0.5658,0.867,0.106,0.538,0.738,0.538,0.558,0.377,0.083
4751,0.621,0.15,0.931,0.095,0.022,0.588,0.916,0.274,0.218,0.706
266,0.291,0.949,0.983,0.24,0.843,0.933,0.055,0.856,0.557,0.956
8976,0.71,0.6348,0.444,0.502,0.287,0.171,0.058,0.552,0.268,0.349
38338,0.849,0.7196,0.459,0.08,0.491,0.193,0.173,0.477,0.592,0.951
21028,0.44,0.877,0.231,0.39,0.217,0.159,0.758,0.081,0.345,0.024
18869,0.998,0.904,0.06,0.995,0.746,0.456,0.442,0.39,0.367,0.883
361,0.162,0.73,0.784,0.297,0.211,0.651,0.343,0.057,0.624,0.235
8239,0.908,0.5410000000000001,0.787,0.147,0.273,0.386,0.003,0.75,0.625,0.439
2633,0.315,0.052,0.209,0.683,0.908,0.569,0.375,0.638,0.56,0.892
37376,0.68,0.3088,0.844,0.62,0.664,0.661,0.958,0.153,0.024,0.985
12662,0.801,0.751,0.97,0.694,0.197,0.009,0.239,0.173,0.593,0.822
36012,0.075,0.215,0.418,0.199,0.088,0.232,0.262,0.318,0.633,0.284
460,0.735,0.579,0.612,0.08,0.937,0.557,0.119,0.788,0.535,0.461
38915,0.589,0.42040000000000005,0.548,0.434,0.596,0.943,0.297,0.973,0.111,0.764
7302,0.164,0.701,0.867,0.62,0.049,0.167,0.562,0.294,0.868,0.45
32670,0.731,0.306,0.697,0.542,0.02,0.871,0.803,0.119,0.381,0.626
30578,0.473,0.6526,0.01,0.623,0.275,0.121,0.717,0.03,0.638,0.301
37341,0.4,0.355,0.711,0.652,0.211,0.93,0.043,0.792,0.378,0.549
25267,0.288,0.492,0.504,0.645,0.187,0.951,0.107,0.943,0.992,0.485
7,0.625,0.41319999999999996,0.725,0.628,0.541,0.481,0.46,0.021,0.765,0.392
37272,0.469,0.521,0.747,0.659,0.078,0.6,0.674,0.496,0.8,0.706
31372,0.65,0.926,0.143,0.286,0.758,0.678,0.668,0.876,0.09,0.691
13238,0.668,0.5814,0.553,0.538,0.355,0.73,0.641,0.576,0.322,0.675
16797,0.217,0.40499999999999997,0.009,0.379,0.573,0.623,0.717,0.101,0.638,0.09
37471,0.408,0.43240000000000006,0.148,0.896,0.239,0.484,0.888,0.304,0.982,0.058
2346,0.017,0.4946,0.488,0.273,0.571,0.765,0.886,0.709,0.076,0.333
4468,0.187,0.393,0.246,0.894,0.489,0.637,0.337,0.591,0.416,0.304
4208,0.727,0.5522,0.283,0.972,0.241,0.258,0.632,0.614,0.385,0.253
2746,0.627,0.47400000000000003,0.274,0.35,0.6,0.714,0.818,0.83,0.308,0.104
21547,0.137,0.3954000000000001,0.902,0.009,0.389,0.202,0.434,0.979,0.569,0.961
38679,0.526,0.668,0.643,0.966,0.756,0.016,0.607,0.952,0.673,0.054
12957,0.046,0.714,0.644,0.355,0.853,0.427,0.783,0.514,0.85,0.102
38951,0.828,0.413,0.415,0.382,0.844,0.266,0.768,0.357,0.416,0.92
5346,0.81,0.457,0.276,0.953,0.144,0.2,0.98,0.741,0.93,0.781
4636,0.924,0.6172000000000001,0.17,0.201,0.453,0.19,0.856,0.175,0.909,0.833
17953,0.481,0.655,0.839,0.552,0.74,0.698,0.792,0.673,0.239,0.32
15178,0.421,0.884,0.852,0.351,0.0,0.362,0.88,0.989,0.86,0.887
14421,0.569,0.5231999999999999,0.896,0.614,0.394,0.54,0.588,0.362,0.798,0.511
11591,0.558,0.34740000000000004,0.269,0.147,0.536,0.091,0.657,0.512,0.008,0.155
35371,0.577,0.43,0.043,0.381,0.99,0.702,0.231,0.115,0.773,0.195
33779,0.607,0.5168,0.345,0.99,0.469,0.195,0.348,0.135,0.644,0.753
20691,0.069,0.374,0.486,0.632,0.578,0.363,0.925,0.453,0.051,0.148
